gbr_grid164    -22.30   332.58
gbr_grid165    -22.30   332.93
gbr_grid166    -22.65   331.17
gbr_grid167    -22.65   331.52
gbr_grid168    -22.65   331.88
gbr_grid169    -22.65   332.23
gbr_grid170    -22.65   332.58
gbr_grid171    -22.65   332.93
gbr_grid172    -23.00   330.82
gbr_grid173    -23.00   331.17
gbr_grid174    -23.00   331.52
gbr_grid175    -23.00   331.88
gbr_grid176    -23.00   332.23
gbr_grid177    -23.36   331.17
gbr_grid178    -23.36   331.52
gbr_grid179    -23.36   331.88
gbr_grid180    -23.36   332.23
gbr_grid181    -23.71   331.52
gbr_grid182    -23.71   331.88
gbr_grid183    -23.71   332.23
gbr_grid184    -24.06   331.88
gbr_grid185    -24.06   332.23
gbr_grid186    -24.06   332.58
gbr_grid187    -24.06   332.93
gbr_grid188    -24.41   332.23
gbr_grid189    -24.41   332.58
gbr_grid190    -24.41   332.93
gbr_grid191    -24.41   333.28
gbr_grid192    -24.76   332.58
gbr_grid193    -24.76   332.93
gbr_grid194    -24.76   333.28
gbr_grid195    -25.11   332.93
gbr_grid196    -25.11   333.28
gbr_grid197    -25.11   333.63
gbr_grid198    -25.46   333.28
gbr_grid199    -25.46   333.63
gbr_grid200    -25.81   333.28
gbr_grid201    -25.81   333.63
gbr_grid202    -26.17   333.28
gbr_grid203    -26.17   333.63
gbr_grid204    -18.44   326.25
gbr_grid205    -18.79   326.25
gbr_grid_206   -20.20   328.36
